dataset_id,data,loja,produto,categoria,preco,promocao,estoque,temperatura_prevista,receita_final
VAREJO_05,2027-01-01,LOJA_01,PROD_01,alimentos,11.99,0,138,28.9,
VAREJO_05,2027-01-01,LOJA_01,PROD_02,alimentos,19.31,0,155,32.6,
VAREJO_05,2027-01-01,LOJA_01,PROD_03,bebidas,6.02,0,148,30.1,
VAREJO_05,2027-01-01,LOJA_01,PROD_04,bebidas,11.46,0,127,27.7,
VAREJO_05,2027-01-01,LOJA_01,PROD_05,higiene,29.03,0,176,30.9,
VAREJO_05,2027-01-01,LOJA_01,PROD_06,higiene,29.47,1,119,29.2,
VAREJO_05,2027-01-01,LOJA_01,PROD_07,limpeza,41.49,0,149,29.0,
VAREJO_05,2027-01-01,LOJA_01,PROD_08,limpeza,54.41,0,,,
VAREJO_05,2027-01-01,LOJA_01,PROD_09,utilidades,22.35,0,166,29.3,
VAREJO_05,2027-01-01,LOJA_01,PROD_10,utilidades,26.44,1,105,29.2,
VAREJO_05,2027-01-01,LOJA_02,PROD_01,alimentos,11.37,0,,28.8,
VAREJO_05,2027-01-01,LOJA_02,PROD_02,alimentos,18.83,,175,29.5,
VAREJO_05,2027-01-01,LOJA_02,PROD_03,bebidas,8.14,0,93,29.0,
VAREJO_05,2027-01-01,LOJA_02,PROD_04,bebidas,11.61,0,135,31.8,
VAREJO_05,2027-01-01,LOJA_02,PROD_05,higiene,28.26,0,119,29.6,
VAREJO_05,2027-01-01,LOJA_02,PROD_06,higiene,33.82,0,125,29.7,
VAREJO_05,2027-01-01,LOJA_02,PROD_07,limpeza,36.68,1,138,31.6,
VAREJO_05,2027-01-01,LOJA_02,PROD_08,limpeza,54.41,0,172,32.6,
VAREJO_05,2027-01-01,LOJA_02,PROD_09,utilidades,22.79,0,154,30.6,
VAREJO_05,2027-01-01,LOJA_02,PROD_10,utilidades,30.31,0,138,31.1,
VAREJO_05,2027-01-01,LOJA_03,PROD_01,alimentos,13.23,0,104,27.5,
VAREJO_05,2027-01-01,LOJA_03,PROD_02,alimentos,15.13,,108,31.9,
VAREJO_05,2027-01-01,LOJA_03,PROD_03,bebidas,7.03,0,119,,
VAREJO_05,2027-01-01,LOJA_03,PROD_04,bebidas,,1,90,31.5,
VAREJO_05,2027-01-01,LOJA_03,PROD_05,higiene,23.69,1,100,31.2,
VAREJO_05,2027-01-01,LOJA_03,PROD_06,higiene,34.86,0,135,33.4,
VAREJO_05,2027-01-01,LOJA_03,PROD_07,limpeza,35.2,1,153,33.6,
VAREJO_05,2027-01-01,LOJA_03,PROD_08,limpeza,54.89,0,123,31.4,
VAREJO_05,2027-01-01,LOJA_03,PROD_09,utilidades,21.49,0,166,30.5,
VAREJO_05,2027-01-01,LOJA_03,PROD_10,utilidades,30.89,0,155,30.0,
VAREJO_05,2027-01-01,LOJA_04,PROD_01,alimentos,11.73,0,168,30.9,
VAREJO_05,2027-01-01,LOJA_04,PROD_02,,17.64,0,96,31.4,
VAREJO_05,2027-01-01,LOJA_04,PROD_03,bebidas,6.36,0,179,31.5,
VAREJO_05,2027-01-01,LOJA_04,PROD_04,bebidas,10.12,0,136,31.4,
VAREJO_05,2027-01-01,LOJA_04,PROD_05,higiene,29.74,0,149,,
VAREJO_05,2027-01-01,LOJA_04,PROD_06,higiene,35.06,0,101,31.9,
VAREJO_05,2027-01-01,LOJA_04,PROD_07,limpeza,35.19,,141,32.8,
VAREJO_05,2027-01-01,LOJA_04,PROD_08,limpeza,"54,69",0,148,29.4,
VAREJO_05,2027-01-01,LOJA_04,PROD_09,utilidades,21.22,0,,31.4,
VAREJO_05,2027-01-01,LOJA_04,PROD_10,utilidades,30.58,0,93,30.5,
VAREJO_05,2027-01-02,LOJA_01,PROD_01,alimentos,11.47,0,111,31.9,
VAREJO_05,2027-01-02,LOJA_01,PROD_02,alimentos,18.48,0,173,27.2,
VAREJO_05,2027-01-02,LOJA_01,PROD_03,bebidas,6.61,0,155,29.6,
VAREJO_05,2027-01-02,LOJA_01,PROD_04,,11.53,0,176,,
VAREJO_05,2027-01-02,LOJA_01,PROD_05,higiene,27.65,0,159,28.2,
VAREJO_05,2027-01-02,LOJA_01,PROD_06,higiene,35.4,0,110,29.3,
VAREJO_05,2027-01-02,LOJA_01,PROD_07,,41.43,0,112,30.2,
VAREJO_05,2027-01-02,LOJA_01,PROD_08,limpeza,55.23,,149,26.9,
VAREJO_05,2027-01-02,LOJA_01,PROD_09,utilidades,21.23,0,129,32.1,
VAREJO_05,2027-01-02,LOJA_01,PROD_10,utilidades,30.87,0,131,30.2,
VAREJO_05,2027-01-02,LOJA_02,PROD_01,alimentos,12.62,0,126,27.2,
VAREJO_05,2027-01-02,LOJA_02,PROD_02,alimentos,17.55,0,97,30.5,
VAREJO_05,2027-01-02,LOJA_02,PROD_03,bebidas,6.35,0,100,28.6,
VAREJO_05,2027-01-02,LOJA_02,PROD_04,,11.11,0,90,33.3,
