dataset_id,data,loja,produto,quantidade_prevista
VAREJO_05,2027-01-01,LOJA_01,PROD_01,35.7
VAREJO_05,2027-01-01,LOJA_01,PROD_02,41.72
VAREJO_05,2027-01-01,LOJA_01,PROD_03,27.7
VAREJO_05,2027-01-01,LOJA_01,PROD_04,36.25
VAREJO_05,2027-01-01,LOJA_01,PROD_05,31.89
VAREJO_05,2027-01-01,LOJA_01,PROD_06,49.22
VAREJO_05,2027-01-01,LOJA_01,PROD_07,27.3
VAREJO_05,2027-01-01,LOJA_01,PROD_08,34.98
VAREJO_05,2027-01-01,LOJA_01,PROD_09,38.84
VAREJO_05,2027-01-01,LOJA_01,PROD_10,51.49
VAREJO_05,2027-01-01,LOJA_02,PROD_01,42.88
VAREJO_05,2027-01-01,LOJA_02,PROD_02,48.87
VAREJO_05,2027-01-01,LOJA_02,PROD_03,31.24
VAREJO_05,2027-01-01,LOJA_02,PROD_04,42.98
VAREJO_05,2027-01-01,LOJA_02,PROD_05,35.78
VAREJO_05,2027-01-01,LOJA_02,PROD_06,43.86
VAREJO_05,2027-01-01,LOJA_02,PROD_07,43.27
VAREJO_05,2027-01-01,LOJA_02,PROD_08,38.46
VAREJO_05,2027-01-01,LOJA_02,PROD_09,42.17
VAREJO_05,2027-01-01,LOJA_02,PROD_10,43.82
VAREJO_05,2027-01-01,LOJA_03,PROD_01,47.76
VAREJO_05,2027-01-01,LOJA_03,PROD_02,50.8
VAREJO_05,2027-01-01,LOJA_03,PROD_03,36.86
VAREJO_05,2027-01-01,LOJA_03,PROD_04,58.93
VAREJO_05,2027-01-01,LOJA_03,PROD_05,54.47
VAREJO_05,2027-01-01,LOJA_03,PROD_06,47.05
VAREJO_05,2027-01-01,LOJA_03,PROD_07,50.94
VAREJO_05,2027-01-01,LOJA_03,PROD_08,44.32
VAREJO_05,2027-01-01,LOJA_03,PROD_09,43.94
VAREJO_05,2027-01-01,LOJA_03,PROD_10,50.8
VAREJO_05,2027-01-01,LOJA_04,PROD_01,52.4
VAREJO_05,2027-01-01,LOJA_04,PROD_02,59.95
VAREJO_05,2027-01-01,LOJA_04,PROD_03,44.08
VAREJO_05,2027-01-01,LOJA_04,PROD_04,54.65
VAREJO_05,2027-01-01,LOJA_04,PROD_05,45.06
VAREJO_05,2027-01-01,LOJA_04,PROD_06,53.08
VAREJO_05,2027-01-01,LOJA_04,PROD_07,43.47
VAREJO_05,2027-01-01,LOJA_04,PROD_08,51.03
VAREJO_05,2027-01-01,LOJA_04,PROD_09,46.49
VAREJO_05,2027-01-01,LOJA_04,PROD_10,53.05
VAREJO_05,2027-01-02,LOJA_01,PROD_01,41.92
VAREJO_05,2027-01-02,LOJA_01,PROD_02,44.95
VAREJO_05,2027-01-02,LOJA_01,PROD_03,34.33
VAREJO_05,2027-01-02,LOJA_01,PROD_04,39.08
VAREJO_05,2027-01-02,LOJA_01,PROD_05,35.31
VAREJO_05,2027-01-02,LOJA_01,PROD_06,41.84
VAREJO_05,2027-01-02,LOJA_01,PROD_07,29.45
VAREJO_05,2027-01-02,LOJA_01,PROD_08,38.81
VAREJO_05,2027-01-02,LOJA_01,PROD_09,42.56
VAREJO_05,2027-01-02,LOJA_01,PROD_10,44.25
VAREJO_05,2027-01-02,LOJA_02,PROD_01,43.56
VAREJO_05,2027-01-02,LOJA_02,PROD_02,52.53
VAREJO_05,2027-01-02,LOJA_02,PROD_03,37.32
VAREJO_05,2027-01-02,LOJA_02,PROD_04,44.76
VAREJO_05,2027-01-02,LOJA_02,PROD_05,42.5
VAREJO_05,2027-01-02,LOJA_02,PROD_06,49.14
VAREJO_05,2027-01-02,LOJA_02,PROD_07,38.25
VAREJO_05,2027-01-02,LOJA_02,PROD_08,42.66
VAREJO_05,2027-01-02,LOJA_02,PROD_09,46.49
VAREJO_05,2027-01-02,LOJA_02,PROD_10,49.88
VAREJO_05,2027-01-02,LOJA_03,PROD_01,65.91
VAREJO_05,2027-01-02,LOJA_03,PROD_02,69.85
VAREJO_05,2027-01-02,LOJA_03,PROD_03,42.97
VAREJO_05,2027-01-02,LOJA_03,PROD_04,50.3
VAREJO_05,2027-01-02,LOJA_03,PROD_05,58.32
VAREJO_05,2027-01-02,LOJA_03,PROD_06,64.94
VAREJO_05,2027-01-02,LOJA_03,PROD_07,43.65
VAREJO_05,2027-01-02,LOJA_03,PROD_08,49.6
VAREJO_05,2027-01-02,LOJA_03,PROD_09,48.75
VAREJO_05,2027-01-02,LOJA_03,PROD_10,69.86
VAREJO_05,2027-01-02,LOJA_04,PROD_01,61.12
VAREJO_05,2027-01-02,LOJA_04,PROD_02,63.64
VAREJO_05,2027-01-02,LOJA_04,PROD_03,58.66
VAREJO_05,2027-01-02,LOJA_04,PROD_04,69.69
VAREJO_05,2027-01-02,LOJA_04,PROD_05,49.85
VAREJO_05,2027-01-02,LOJA_04,PROD_06,72.08
VAREJO_05,2027-01-02,LOJA_04,PROD_07,44.39
VAREJO_05,2027-01-02,LOJA_04,PROD_08,54.78
VAREJO_05,2027-01-02,LOJA_04,PROD_09,52.59
VAREJO_05,2027-01-02,LOJA_04,PROD_10,59.24
VAREJO_05,2027-01-03,LOJA_01,PROD_01,53.56
VAREJO_05,2027-01-03,LOJA_01,PROD_02,46.32
VAREJO_05,2027-01-03,LOJA_01,PROD_03,46.06
VAREJO_05,2027-01-03,LOJA_01,PROD_04,39.51
VAREJO_05,2027-01-03,LOJA_01,PROD_05,35.89
VAREJO_05,2027-01-03,LOJA_01,PROD_06,42.19
VAREJO_05,2027-01-03,LOJA_01,PROD_07,29.49
VAREJO_05,2027-01-03,LOJA_01,PROD_08,40.59
VAREJO_05,2027-01-03,LOJA_01,PROD_09,42.98
VAREJO_05,2027-01-03,LOJA_01,PROD_10,57.37
VAREJO_05,2027-01-03,LOJA_02,PROD_01,45.49
VAREJO_05,2027-01-03,LOJA_02,PROD_02,51.21
VAREJO_05,2027-01-03,LOJA_02,PROD_03,37.17
VAREJO_05,2027-01-03,LOJA_02,PROD_04,46.44
VAREJO_05,2027-01-03,LOJA_02,PROD_05,39.59
VAREJO_05,2027-01-03,LOJA_02,PROD_06,48.44
VAREJO_05,2027-01-03,LOJA_02,PROD_07,36.43
VAREJO_05,2027-01-03,LOJA_02,PROD_08,57.88
VAREJO_05,2027-01-03,LOJA_02,PROD_09,46.4
VAREJO_05,2027-01-03,LOJA_02,PROD_10,48.19
VAREJO_05,2027-01-03,LOJA_03,PROD_01,53.21
VAREJO_05,2027-01-03,LOJA_03,PROD_02,56.7
VAREJO_05,2027-01-03,LOJA_03,PROD_03,44.24
VAREJO_05,2027-01-03,LOJA_03,PROD_04,50.92
VAREJO_05,2027-01-03,LOJA_03,PROD_05,45.23
VAREJO_05,2027-01-03,LOJA_03,PROD_06,50.53
VAREJO_05,2027-01-03,LOJA_03,PROD_07,42.81
VAREJO_05,2027-01-03,LOJA_03,PROD_08,64.7
VAREJO_05,2027-01-03,LOJA_03,PROD_09,49.17
VAREJO_05,2027-01-03,LOJA_03,PROD_10,56.58
VAREJO_05,2027-01-03,LOJA_04,PROD_01,70.68
VAREJO_05,2027-01-03,LOJA_04,PROD_02,62.58
VAREJO_05,2027-01-03,LOJA_04,PROD_03,59.29
VAREJO_05,2027-01-03,LOJA_04,PROD_04,58.18
VAREJO_05,2027-01-03,LOJA_04,PROD_05,49.24
VAREJO_05,2027-01-03,LOJA_04,PROD_06,57.74
VAREJO_05,2027-01-03,LOJA_04,PROD_07,47.45
VAREJO_05,2027-01-03,LOJA_04,PROD_08,56.0
VAREJO_05,2027-01-03,LOJA_04,PROD_09,53.06
VAREJO_05,2027-01-03,LOJA_04,PROD_10,59.39
VAREJO_05,2027-01-04,LOJA_01,PROD_01,35.55
VAREJO_05,2027-01-04,LOJA_01,PROD_02,38.94
VAREJO_05,2027-01-04,LOJA_01,PROD_03,30.07
VAREJO_05,2027-01-04,LOJA_01,PROD_04,35.99
VAREJO_05,2027-01-04,LOJA_01,PROD_05,32.79
VAREJO_05,2027-01-04,LOJA_01,PROD_06,48.54
VAREJO_05,2027-01-04,LOJA_01,PROD_07,27.8
VAREJO_05,2027-01-04,LOJA_01,PROD_08,35.55
VAREJO_05,2027-01-04,LOJA_01,PROD_09,50.97
VAREJO_05,2027-01-04,LOJA_01,PROD_10,39.28
VAREJO_05,2027-01-04,LOJA_02,PROD_01,57.63
VAREJO_05,2027-01-04,LOJA_02,PROD_02,48.42
VAREJO_05,2027-01-04,LOJA_02,PROD_03,32.02
VAREJO_05,2027-01-04,LOJA_02,PROD_04,54.44
VAREJO_05,2027-01-04,LOJA_02,PROD_05,35.18
VAREJO_05,2027-01-04,LOJA_02,PROD_06,55.43
VAREJO_05,2027-01-04,LOJA_02,PROD_07,43.61
VAREJO_05,2027-01-04,LOJA_02,PROD_08,38.82
VAREJO_05,2027-01-04,LOJA_02,PROD_09,42.22
VAREJO_05,2027-01-04,LOJA_02,PROD_10,43.49
VAREJO_05,2027-01-04,LOJA_03,PROD_01,48.18
VAREJO_05,2027-01-04,LOJA_03,PROD_02,50.77
VAREJO_05,2027-01-04,LOJA_03,PROD_03,52.8
VAREJO_05,2027-01-04,LOJA_03,PROD_04,58.65
VAREJO_05,2027-01-04,LOJA_03,PROD_05,42.33
VAREJO_05,2027-01-04,LOJA_03,PROD_06,46.53
VAREJO_05,2027-01-04,LOJA_03,PROD_07,37.28
VAREJO_05,2027-01-04,LOJA_03,PROD_08,45.35
VAREJO_05,2027-01-04,LOJA_03,PROD_09,43.63
VAREJO_05,2027-01-04,LOJA_03,PROD_10,50.45
VAREJO_05,2027-01-04,LOJA_04,PROD_01,66.87
VAREJO_05,2027-01-04,LOJA_04,PROD_02,57.56
VAREJO_05,2027-01-04,LOJA_04,PROD_03,44.53
VAREJO_05,2027-01-04,LOJA_04,PROD_04,52.5
VAREJO_05,2027-01-04,LOJA_04,PROD_05,46.66
VAREJO_05,2027-01-04,LOJA_04,PROD_06,50.63
VAREJO_05,2027-01-04,LOJA_04,PROD_07,43.79
VAREJO_05,2027-01-04,LOJA_04,PROD_08,51.06
VAREJO_05,2027-01-04,LOJA_04,PROD_09,46.78
VAREJO_05,2027-01-04,LOJA_04,PROD_10,52.76
VAREJO_05,2027-01-05,LOJA_01,PROD_01,35.46
VAREJO_05,2027-01-05,LOJA_01,PROD_02,39.05
VAREJO_05,2027-01-05,LOJA_01,PROD_03,28.64
VAREJO_05,2027-01-05,LOJA_01,PROD_04,37.05
