dataset_id,data,loja,produto,categoria,preco,promocao,estoque,quantidade_vendida,temperatura_prevista,receita_final
VAREJO_05,2025-12-29,LOJA_03,PROD_04,bebidas,10.46,0,121,49,26.7,512.54
VAREJO_05,10/01/2025,LOJA_04,PROD_10,utilidades,30.13,0,140,55,29.4,1657.15
VAREJO_05,2025-07-24,LOJA_04,PROD_09,utilidades,22.29,0,95,50,21.4,1114.5
VAREJO_05,2025-01-06,LOJA_04,PROD_07,limpeza,41.18,0,114,48,28.3,1976.64
VAREJO_05,2025-04-11,LOJA_04,PROD_03,bebidas,6.85,0,93,41,20.1,280.85
VAREJO_05,2025-06-27,LOJA_04,PROD_10,utilidades,30.2,0,,52,19.0,1570.4
VAREJO_05,2025-03-02,LOJA_03,PROD_04,bebidas,,0,114,50,26.0,589.0
VAREJO_05,2025-05-11,LOJA_01,PROD_08,limpeza,55.29,0,102,28,19.3,1548.12
VAREJO_05,2025-02-13,LOJA_01,PROD_07,limpeza,42.29,0,127,26,27.2,1099.54
VAREJO_05,2025-08-08,LOJA_03,PROD_07,limpeza,41.57,0,174,33,16.5,1371.81
VAREJO_05,2025-03-04,LOJA_03,PROD_07,limpeza,36.54,1,102,50,26.6,1827.0
VAREJO_05,2025-08-20,LOJA_02,PROD_01,alimentos,11.8,0,173,35,19.5,413.0
VAREJO_05,2025-11-24,LOJA_03,PROD_02,alimentos,15.51,1,94,70,26.9,1085.7
VAREJO_05,2025-09-02,LOJA_03,PROD_01,alimentos,13.36,,144,37,23.6,494.32
VAREJO_05,2025-07-03,LOJA_02,PROD_03,,7.15,0,173,22,18.3,157.3
VAREJO_05,2025-09-30,LOJA_04,PROD_07,limpeza,36.59,1,122,55,22.8,2012.45
VAREJO_05,2025-04-21,LOJA_04,PROD_02,alimentos,,0,169,41,19.9,696.59
VAREJO_05,2025-08-12,LOJA_02,PROD_02,alimentos,,0,171,40,17.0,769.6
VAREJO_05,2025-03-06,LOJA_04,PROD_08,limpeza,46.99,1,128,54,29.4,
VAREJO_05,2025-01-30,LOJA_03,PROD_02,alimentos,18.11,0,103,53,28.9,959.83
VAREJO_05,2025-04-11,LOJA_04,PROD_08,limpeza,54.99,0,135,36,19.9,
VAREJO_05,2025-04-03,LOJA_02,PROD_07,limpeza,42.57,0,152,18,23.3,766.26
VAREJO_05,2025-05-07,LOJA_04,PROD_10,utilidades,30.11,0,111,44,20.2,1324.84
VAREJO_05,2025-11-15,LOJA_04,PROD_02,,18.59,0,109,59,26.8,
VAREJO_05,2025-03-03,LOJA_02,PROD_05,higiene,23.16,1,156,44,25.4,1019.04
VAREJO_05,2025-03-23,LOJA_02,PROD_09,,22.53,0,111,35,24.0,788.55
VAREJO_05,2025-11-18,LOJA_04,PROD_03,bebidas,,,177,43,30.1,289.82
VAREJO_05,2025-05-27,LOJA_03,PROD_02,alimentos,16.78,0,95,38,21.3,637.64
VAREJO_05,2025-12-15,LOJA_01,PROD_06,higiene,34.3,0,101,41,26.7,1406.3
VAREJO_05,2025-07-14,LOJA_01,PROD_03,bebidas,6.25,0,121,25,16.3,156.25
VAREJO_05,2025-09-03,LOJA_02,PROD_04,bebidas,11.65,0,129,42,20.4,489.3
VAREJO_05,2025-11-11,LOJA_02,PROD_07,limpeza,36.5,1,103,48,27.9,1752.0
VAREJO_05,2025-04-10,LOJA_03,PROD_09,utilidades,21.97,0,,39,22.7,856.83
VAREJO_05,2025-05-03,LOJA_01,PROD_09,utilidades,19.03,1,124,42,16.8,799.26
VAREJO_05,2025-08-18,LOJA_02,PROD_02,alimentos,14.95,1,155,52,19.3,777.4
VAREJO_05,2025-04-24,LOJA_02,PROD_08,limpeza,46.7,1,129,43,21.9,2008.1
VAREJO_05,2025-12-08,LOJA_01,PROD_06,higiene,,0,154,42,30.2,1414.98
VAREJO_05,2025-04-27,LOJA_03,PROD_04,bebidas,10.38,0,151,42,21.5,435.96
VAREJO_05,2025-01-01,LOJA_04,PROD_04,bebidas,10.83,0,117,53,32.6,573.99
VAREJO_05,2025-02-14,LOJA_04,PROD_01,alimentos,10.69,0,,55,28.5,587.95
VAREJO_05,2025-10-24,LOJA_04,PROD_10,,25.48,1,131,74,30.2,1885.52
VAREJO_05,2025-07-21,LOJA_03,PROD_04,bebidas,11.36,,,43,16.6,488.48
VAREJO_05,2025-07-27,LOJA_02,PROD_07,limpeza,42.29,0,122,24,20.9,1014.96
VAREJO_05,2025-04-20,LOJA_03,PROD_07,limpeza,42.02,0,174,28,24.0,1176.56
VAREJO_05,2025-10-25,LOJA_03,PROD_02,alimentos,18.83,0,129,63,24.2,1186.29
VAREJO_05,2025-10-15,LOJA_02,PROD_02,alimentos,15.72,1,174,66,24.2,
VAREJO_05,2025-04-16,LOJA_01,PROD_09,utilidades,22.69,0,101,32,26.3,726.08
VAREJO_05,2025-09-01,LOJA_01,PROD_07,limpeza,36.67,1,147,38,21.3,1393.46
VAREJO_05,2025-05-30,LOJA_03,PROD_02,alimentos,,0,103,37,18.9,681.54
VAREJO_05,2025-03-14,LOJA_01,PROD_02,alimentos,,0,109,36,29.0,
VAREJO_05,2025-05-22,LOJA_01,PROD_02,alimentos,18.98,0,137,27,21.2,512.46
